Name,Age,Monthy Income,Accumulated Assets,Investment Goals,Risk Tolerance,Investment Experience
Wayne Lamb,61,6000000.0,15337359.69,Long-term,low,Under 1 year
Emily Reid,61,120000000.0,244452873.91,Long-term,low,Under 4 year
Leslie Long,26,68000000.0,124789681.9,Long-term,medium,Under 2 year
Patricia Barrett,36,150000000.0,256211072.57,Medium-term,high,Under 2 year
Sarah Dominguez,42,130000000.0,261331354.02,Medium-term,low,Under 6 year
Michele Miller,31,106000000.0,183080163.68,Medium-term,low,Under 7 year
Michael Moore,42,89000000.0,203745671.04,Short-term,high,Under 1 year
Gregory Horton,47,120000000.0,213150787.24,Short-term,low,Under 6 year
Sheila Parker,64,92000000.0,223396516.72,Short-term,high,Under 7 year
Savannah Smith,63,53000000.0,93880142.06,Medium-term,high,Under 4 year
Stuart Rodriguez,53,44000000.0,120629696.3,Long-term,medium,Under 1 year
Kendra Anderson,54,137000000.0,338357008.78,Long-term,low,Under 4 year
Pamela Hill,50,150000000.0,259644146.55,Medium-term,medium,Under 8 year
David Baker,35,101000000.0,271807856.72,Short-term,medium,Under 3 year
Molly Murray,40,62000000.0,163770180.85,Medium-term,medium,Under 2 year
Jose Lopez,36,94000000.0,226838916.39,Medium-term,high,Under 7 year
Jennifer Mejia,52,106000000.0,178169955.5,Long-term,low,Under 1 year
Patricia Blackburn,47,31000000.0,68143790.21,Short-term,low,Under 6 year
Lindsay Allen,37,41000000.0,112055045.9,Long-term,medium,Under 1 year
Pamela Todd,64,57000000.0,135504251.28,Short-term,low,Under 3 year
Holly Brandt,57,31000000.0,91907730.02,Medium-term,low,Under 8 year
Michael Edwards,47,96000000.0,201293090.42,Medium-term,high,Under 8 year
Ronald Andrews,24,82000000.0,153700676.12,Long-term,high,Under 4 year
Timothy Moss,50,132000000.0,227349917.85,Long-term,medium,Under 7 year
Denise Hicks,26,64000000.0,155454186.31,Short-term,high,Under 8 year
Shawn Jones,44,26000000.0,40871130.53,Medium-term,high,Under 8 year
Raymond Fuentes,51,82000000.0,188067740.08,Long-term,medium,Under 7 year
Kevin Cook,30,34000000.0,66349682.55,Medium-term,high,Under 7 year
Kelly Russell,37,131000000.0,277738311.25,Long-term,medium,Under 3 year
Kristin Perkins,48,44000000.0,78161470.28,Short-term,medium,Under 1 year
Adam Salazar,43,64000000.0,128737192.58,Medium-term,high,Under 5 year
Kim Lewis,60,100000000.0,164183550.7,Medium-term,low,Under 9 year
Peter Mills,47,14000000.0,22872320.31,Short-term,low,Under 3 year
Melissa Bowman,31,84000000.0,193830315.37,Short-term,low,Under 7 year
Jacob Lee,33,82000000.0,157650734.01,Long-term,medium,Under 7 year
Eric Parks,46,101000000.0,170431856.59,Long-term,high,Under 6 year
Anne Bailey,51,114000000.0,193564205.28,Short-term,medium,Under 5 year
Tim Clay,35,142000000.0,400436993.61,Long-term,high,Under 4 year
Benjamin Johnson,46,24000000.0,46771695.79,Short-term,low,Under 0 year
Bethany Simmons,62,78000000.0,151296475.09,Short-term,high,Under 0 year
Victoria Clark,58,94000000.0,210185566.75,Short-term,low,Under 5 year
Amber Waters,62,106000000.0,273539451.68,Short-term,high,Under 7 year
Mrs. Michelle Stewart,33,79000000.0,152491531.55,Long-term,low,Under 2 year
Deborah Hancock,39,43000000.0,115993578.99,Long-term,medium,Under 3 year
Barbara Gamble,52,55000000.0,92932738.94,Medium-term,medium,Under 2 year
Carolyn Poole,39,69000000.0,151432613.52,Short-term,medium,Under 3 year
Miranda Fletcher,35,33000000.0,63584450.15,Medium-term,medium,Under 4 year
Samantha Brown,58,84000000.0,197354256.83,Medium-term,high,Under 1 year
Brandi Cuevas,51,13000000.0,28793797.69,Medium-term,low,Under 9 year
David Garner,25,78000000.0,180339858.36,Long-term,low,Under 7 year
Paul Cochran,24,80000000.0,163727746.19,Long-term,low,Under 4 year
Robin Garza,59,22000000.0,64892183.19,Long-term,medium,Under 4 year
Vickie Arnold,59,74000000.0,192954645.05,Medium-term,high,Under 2 year
Mr. Anthony Hernandez,29,102000000.0,161882621.36,Long-term,low,Under 7 year
Jessica Smith,45,77000000.0,157715599.28,Short-term,high,Under 4 year
Ryan Nelson,24,116000000.0,253018790.83,Long-term,high,Under 3 year
Dylan Buchanan,36,115000000.0,279098125.96,Long-term,medium,Under 6 year
Sue Reyes,32,132000000.0,341894271.68,Long-term,medium,Under 7 year
Ana Maldonado,38,40000000.0,62745513.56,Long-term,medium,Under 5 year
Stephanie Smith,50,148000000.0,360180302.72,Short-term,medium,Under 0 year
Debra Bishop,52,149000000.0,253148712.6,Medium-term,medium,Under 7 year
William Cook,19,14000000.0,33481496.52,Long-term,medium,Under 4 year
Joshua Hendricks,64,17000000.0,48742268.27,Short-term,medium,Under 6 year
Misty George,47,72000000.0,137544022.74,Short-term,low,Under 9 year
Katie Vazquez,30,147000000.0,314573156.95,Short-term,low,Under 6 year
Rachel Wong,60,50000000.0,136215457.15,Short-term,medium,Under 1 year
Tiffany Young,47,65000000.0,164309502.81,Medium-term,medium,Under 8 year
Hunter Greer,48,139000000.0,383103486.62,Short-term,low,Under 4 year
Christopher Smith,18,7000000.0,12515165.61,Short-term,high,Under 5 year
Anne Hicks,21,79000000.0,122501516.4,Long-term,high,Under 9 year
Dustin Jarvis,22,147000000.0,233395764.26,Medium-term,high,Under 1 year
Bradley Mendoza,53,100000000.0,184957240.94,Short-term,low,Under 5 year
Cody Jensen,22,132000000.0,358342137.31,Short-term,low,Under 7 year
Patricia Moreno,32,66000000.0,168531934.37,Long-term,high,Under 1 year
Jessica Scott,65,56000000.0,149989995.37,Medium-term,medium,Under 6 year
Eugene Scott,36,127000000.0,361200729.56,Long-term,high,Under 7 year
Jill Jimenez,35,70000000.0,209383077.42,Long-term,medium,Under 0 year
Kayla Fields,26,8000000.0,21321151.6,Long-term,high,Under 9 year
William Moss,47,110000000.0,292003341.91,Medium-term,medium,Under 4 year
Brad Carrillo,41,79000000.0,147710778.65,Medium-term,medium,Under 6 year
Gary Morris DDS,28,128000000.0,376900116.25,Medium-term,high,Under 4 year
Linda Russell,20,68000000.0,200493101.56,Medium-term,low,Under 9 year
Jason Ferguson,48,114000000.0,181359685.89,Medium-term,high,Under 5 year
Brian Smith,29,19000000.0,50224267.38,Long-term,low,Under 0 year
Darren Lang,59,48000000.0,110531578.86,Long-term,medium,Under 3 year
Victoria Carr,27,50000000.0,129866227.05,Short-term,low,Under 1 year
Paul Curtis,63,90000000.0,195356858.33,Short-term,low,Under 6 year
Teresa Bishop,60,42000000.0,75389137.22,Long-term,high,Under 0 year
Brianna Stephens,20,110000000.0,229096112.63,Medium-term,medium,Under 5 year
Eric Wright,28,127000000.0,322431405.9,Medium-term,high,Under 4 year
Beverly Schaefer,45,146000000.0,431847120.71,Short-term,medium,Under 1 year
Benjamin Padilla,36,40000000.0,62630385.21,Medium-term,low,Under 9 year
Christopher Martinez,20,8000000.0,17033009.03,Short-term,high,Under 2 year
Richard Bauer,55,126000000.0,317391508.41,Long-term,medium,Under 2 year
Samantha Weeks,29,72000000.0,135504775.06,Long-term,low,Under 1 year
Nathan Simmons,63,126000000.0,276651946.78,Short-term,medium,Under 5 year
Wesley Pugh,41,127000000.0,282786113.67,Short-term,medium,Under 0 year
Michael Potter,65,85000000.0,237794217.37,Long-term,high,Under 7 year
Brandon Smith,60,40000000.0,106494453.39,Medium-term,low,Under 0 year
Steven Bond,43,66000000.0,126742792.64,Long-term,low,Under 9 year
Jill Farrell,20,33000000.0,97905309.51,Short-term,medium,Under 1 year
Melissa Castro,22,106000000.0,257234328.16,Medium-term,high,Under 2 year
Jeff Perez,58,32000000.0,86898195.23,Short-term,high,Under 4 year
Carolyn Rhodes,38,91000000.0,238016326.58,Short-term,low,Under 0 year
Joseph Perez,43,87000000.0,215049955.67,Long-term,high,Under 7 year
Christopher Williams,50,83000000.0,197757317.32,Medium-term,medium,Under 5 year
Connie Walker,52,71000000.0,173309977.4,Medium-term,low,Under 6 year
Kimberly Perez,24,32000000.0,65359677.09,Long-term,low,Under 1 year
Sydney Cantrell,20,60000000.0,179808293.71,Medium-term,low,Under 5 year
Jason Khan,30,100000000.0,181999663.13,Short-term,medium,Under 3 year
Joseph Ingram,28,50000000.0,100583703.72,Long-term,high,Under 1 year
Michelle Acosta DDS,20,93000000.0,190200383.81,Short-term,low,Under 1 year
Michael Baxter,33,15000000.0,34143958.71,Long-term,medium,Under 4 year
Ronald Miller,62,1000000.0,2034866.71,Short-term,medium,Under 6 year
Melanie Dixon,53,118000000.0,248458049.87,Medium-term,high,Under 4 year
Jonathan Campos,43,77000000.0,123392094.88,Long-term,medium,Under 2 year
Jacqueline Chandler,56,47000000.0,83202243.56,Long-term,medium,Under 0 year
Brian Owen,63,44000000.0,67586082.2,Long-term,low,Under 3 year
Kristina Carson,56,119000000.0,180668309.31,Short-term,high,Under 8 year
Clinton Ho,42,42000000.0,67697060.73,Medium-term,low,Under 7 year
Melissa Davis,61,107000000.0,253158911.06,Medium-term,low,Under 7 year
Caitlin Dorsey,19,123000000.0,290859648.94,Medium-term,high,Under 6 year
Jessica Perkins,52,54000000.0,136646784.63,Long-term,high,Under 5 year
Nancy Williams,32,100000000.0,294420451.25,Long-term,low,Under 7 year
Savannah Delgado,59,140000000.0,367351102.53,Long-term,low,Under 3 year
Benjamin Ortiz,28,44000000.0,116291558.8,Long-term,medium,Under 8 year
Juan Gray,57,88000000.0,149103188.03,Medium-term,medium,Under 0 year
Laura Hendrix,62,134000000.0,296634053.13,Short-term,high,Under 8 year
Caroline Garcia,64,88000000.0,259075871.84,Short-term,high,Under 1 year
Elizabeth Hebert,64,148000000.0,382957952.19,Long-term,medium,Under 0 year
Mary Tanner,65,70000000.0,154172499.25,Medium-term,low,Under 4 year
Michael Green,49,111000000.0,245137754.89,Long-term,low,Under 5 year
Angel Schaefer,21,6000000.0,12373354.52,Long-term,low,Under 5 year
Tommy Peters,31,11000000.0,26494327.6,Short-term,low,Under 7 year
Lynn Jordan,41,18000000.0,27651784.77,Long-term,medium,Under 0 year
Nicholas Hernandez,63,88000000.0,173389490.03,Long-term,low,Under 8 year
Timothy Walls,57,28000000.0,80068520.21,Long-term,low,Under 0 year
Tiffany Edwards,59,39000000.0,61324149.87,Long-term,medium,Under 4 year
Dr. Amy Davis,56,66000000.0,125855758.38,Long-term,high,Under 7 year
Dr. Stephanie King,29,70000000.0,129750581.45,Long-term,low,Under 3 year
Michael Willis,52,56000000.0,125250476.62,Long-term,low,Under 1 year
Daniel Robinson,55,41000000.0,117600126.42,Long-term,low,Under 7 year
Alexis Young,38,45000000.0,94897383.17,Medium-term,medium,Under 9 year
Amanda Brown,34,29000000.0,51880740.78,Long-term,low,Under 2 year
Jennifer Hoffman,56,141000000.0,310613625.13,Short-term,medium,Under 6 year
Justin Jenkins,30,133000000.0,374670480.71,Long-term,low,Under 5 year
Daniel Nelson,56,113000000.0,274270759.14,Short-term,high,Under 7 year
James Taylor,59,86000000.0,173520546.08,Short-term,low,Under 4 year
Leah Barnes,35,22000000.0,35522375.76,Long-term,high,Under 4 year
Michael Richardson,35,87000000.0,198798342.59,Medium-term,low,Under 4 year
