Name,Age,Monthy Income,Accumulated Assets,Investment Goals,Risk Tolerance,Investment Experience
Katherine Davis,47,83000000.0,177510606.86,Short-term,high,Under 6 year
Steven Davis,59,98000000.0,198552758.24,Medium-term,high,Under 8 year
Aaron Haas,56,49000000.0,119460502.29,Short-term,medium,Under 8 year
Mary Hernandez,30,93000000.0,192382689.2,Long-term,high,Under 4 year
Tristan Williams,22,94000000.0,190565796.32,Medium-term,low,Under 5 year
Mary Harrison,42,61000000.0,116302575.19,Short-term,medium,Under 2 year
Angela Greene,18,58000000.0,160495918.65,Long-term,medium,Under 9 year
Fred Powers,26,111000000.0,236303028.55,Medium-term,high,Under 4 year
Richard Boyd III,32,81000000.0,123869899.16,Short-term,high,Under 9 year
Brenda Gonzalez,65,5000000.0,12442182.29,Medium-term,medium,Under 3 year
Ashley Frazier,39,62000000.0,171955954.27,Medium-term,low,Under 1 year
Steven Fields,48,82000000.0,186520026.47,Long-term,high,Under 8 year
Amy Hardin,19,62000000.0,99312891.68,Long-term,high,Under 1 year
William Lowery,29,106000000.0,193009292.98,Long-term,medium,Under 1 year
Diane Allen,23,130000000.0,276102435.34,Long-term,medium,Under 7 year
Tyler Brown,24,147000000.0,241913820.16,Short-term,high,Under 5 year
Melissa Jones,29,84000000.0,182824291.31,Short-term,high,Under 3 year
William Williams,28,28000000.0,73912911.71,Medium-term,low,Under 5 year
Rick Morse,19,86000000.0,225461532.56,Short-term,low,Under 5 year
Ronald Wilson,37,54000000.0,139199712.65,Long-term,high,Under 5 year
Kyle Mitchell,26,70000000.0,142469550.45,Short-term,low,Under 2 year
Dr. Bradley Stewart Jr.,38,117000000.0,282671593.39,Medium-term,high,Under 0 year
Alexis Mack,18,43000000.0,83334283.95,Short-term,low,Under 6 year
Angela Moore,41,51000000.0,101380910.73,Medium-term,high,Under 0 year
Omar Flores,41,32000000.0,92768382.19,Short-term,low,Under 0 year
Tracy Jenkins,38,100000000.0,160668176.34,Short-term,high,Under 9 year
Jodi Curtis,60,120000000.0,326191329.23,Short-term,low,Under 3 year
Kristy Melton,47,135000000.0,328490960.4,Short-term,medium,Under 2 year
Steven Brooks,58,3000000.0,8966766.29,Long-term,low,Under 1 year
Susan Martin,49,46000000.0,132714713.61,Medium-term,low,Under 8 year
Tony Griffith,30,94000000.0,160901839.21,Short-term,low,Under 9 year
Edward Parks,63,90000000.0,259560534.92,Long-term,medium,Under 2 year
Jeffery Hawkins,31,88000000.0,258132271.48,Short-term,medium,Under 1 year
Troy Larsen,41,132000000.0,329275179.1,Long-term,medium,Under 9 year
Bryan Lawson,33,12000000.0,28083937.29,Medium-term,high,Under 4 year
Jessica Lewis,40,31000000.0,54993173.27,Medium-term,high,Under 6 year
Joseph Hanson,21,134000000.0,241214985.02,Medium-term,low,Under 1 year
Jerome Reed,62,96000000.0,230567272.68,Short-term,high,Under 4 year
David Becker,62,33000000.0,63257078.12,Long-term,medium,Under 9 year
John Thomas,64,101000000.0,266671361.18,Short-term,medium,Under 4 year
Sarah Steele,25,19000000.0,33610133.9,Long-term,low,Under 1 year
Stephanie Espinoza,50,124000000.0,355850507.21,Long-term,high,Under 6 year
Brendan Hill,61,67000000.0,196935502.0,Medium-term,medium,Under 3 year
John Martin,40,112000000.0,197099664.29,Medium-term,medium,Under 4 year
Kelly Mccoy,39,103000000.0,179273030.68,Medium-term,high,Under 9 year
David Barber,27,68000000.0,192063773.71,Long-term,low,Under 7 year
Dawn Skinner,33,39000000.0,96518686.38,Short-term,high,Under 2 year
Peter Crawford,52,90000000.0,228772952.66,Medium-term,high,Under 2 year
Robin Nelson,21,146000000.0,224463503.06,Long-term,medium,Under 2 year
Samantha Avery,50,30000000.0,69064052.74,Long-term,low,Under 9 year
Eric Greene,51,109000000.0,326891007.49,Long-term,low,Under 0 year
Julie Daniels,54,34000000.0,70804255.12,Long-term,medium,Under 3 year
Ruben Miller,25,79000000.0,133695349.67,Short-term,medium,Under 6 year
