Name,Age,Monthy Income,Accumulated Assets,Investment Goals,Risk Tolerance,Investment Experience
Connor Li,29,139000000.0,243346271.07,Medium-term,high,Under 5 year
Paula King,63,119000000.0,187152230.22,Short-term,high,Under 5 year
Jasmine Jackson,59,122000000.0,215371019.02,Long-term,low,Under 5 year
Warren Marshall,34,47000000.0,133792451.78,Long-term,medium,Under 9 year
Scott Cannon III,61,77000000.0,215807245.08,Medium-term,high,Under 0 year
Brianna Garcia,54,17000000.0,46328404.94,Short-term,high,Under 1 year
Christopher Mcguire,37,104000000.0,258833568.61,Medium-term,high,Under 8 year
Dorothy Jacobs,56,21000000.0,61890790.68,Long-term,high,Under 4 year
Julie Harris,23,29000000.0,44647024.36,Medium-term,low,Under 9 year
Thomas Baxter,65,42000000.0,70133507.3,Medium-term,low,Under 8 year
Shaun Clarke,30,87000000.0,148467391.53,Short-term,low,Under 0 year
David Owens,46,10000000.0,29454357.7,Long-term,medium,Under 1 year
Erik Jenkins,28,24000000.0,66884074.65,Long-term,medium,Under 0 year
Nicole Mcdowell,40,115000000.0,234801198.0,Long-term,high,Under 8 year
Sonya Lawson,47,38000000.0,100343644.34,Medium-term,high,Under 0 year
Tracy Holmes DDS,41,137000000.0,250862194.9,Medium-term,high,Under 8 year
Deborah Johnson,31,141000000.0,409015355.12,Medium-term,high,Under 0 year
Angela Whitehead,21,107000000.0,272091589.14,Short-term,medium,Under 2 year
Kevin Stephens,47,29000000.0,51403612.84,Short-term,low,Under 4 year
Sophia Lopez,35,122000000.0,317714540.84,Long-term,high,Under 2 year
Natalie Gordon,59,26000000.0,62114300.77,Short-term,high,Under 1 year
Rebecca Horn,36,38000000.0,59743032.05,Short-term,low,Under 6 year
Heidi Morgan,63,32000000.0,70488861.65,Medium-term,high,Under 7 year
Cody Davenport,22,57000000.0,119452730.59,Medium-term,medium,Under 5 year
Dawn Young,23,132000000.0,309527315.44,Medium-term,medium,Under 9 year
Allison Moreno,19,42000000.0,125280127.15,Medium-term,high,Under 6 year
Jennifer Gonzalez,25,130000000.0,379284409.79,Long-term,medium,Under 3 year
Sarah Shea,42,138000000.0,387970953.98,Long-term,medium,Under 5 year
Elizabeth Patton,25,95000000.0,253811563.63,Medium-term,medium,Under 2 year
Selena Weber,59,35000000.0,73302735.75,Short-term,medium,Under 6 year
Devon Chen,40,85000000.0,199404933.97,Medium-term,medium,Under 9 year
Adrian Powell,23,36000000.0,81829747.03,Medium-term,high,Under 8 year
Thomas Brown,51,61000000.0,162584455.51,Medium-term,medium,Under 5 year
Troy Rodriguez,31,37000000.0,72094440.78,Short-term,high,Under 0 year
Arthur Cooper,48,144000000.0,372424346.74,Medium-term,medium,Under 9 year
Anthony Pittman,44,69000000.0,190528709.82,Long-term,high,Under 4 year
Kevin Woods,49,41000000.0,96674835.81,Short-term,high,Under 1 year
Krystal Morrison,40,83000000.0,199215214.77,Medium-term,medium,Under 6 year
Jamie Johnson,54,97000000.0,257218910.81,Long-term,medium,Under 9 year
Crystal Floyd,48,141000000.0,308750075.97,Long-term,high,Under 1 year
Sara Perez,54,22000000.0,51943877.07,Medium-term,high,Under 2 year
