Name,Age,Monthy Income,Accumulated Assets,Investment Goals,Risk Tolerance,Investment Experience
Bradley Smith,65,65000000.0,176421585.43,Medium-term,low,Under 8 year
Dennis Dominguez,65,24000000.0,44860233.88,Short-term,medium,Under 3 year
Christine Nelson,25,146000000.0,391604506.29,Long-term,medium,Under 3 year
Sarah Thompson,52,37000000.0,86090492.76,Short-term,high,Under 1 year
Jeanette Brown,59,54000000.0,134899457.84,Medium-term,low,Under 8 year
David Martinez,37,95000000.0,191064465.71,Short-term,high,Under 5 year
Teresa Watson MD,29,72000000.0,214134768.03,Long-term,high,Under 3 year
Kelly Perry,47,144000000.0,388661578.96,Short-term,low,Under 5 year
Stephanie Davis,54,60000000.0,176911600.37,Medium-term,medium,Under 1 year
Henry White,35,52000000.0,81477616.72,Medium-term,medium,Under 6 year
Mary Kelly,55,121000000.0,268488632.56,Medium-term,high,Under 0 year
Jessica Graves,29,68000000.0,195489204.67,Medium-term,low,Under 1 year
Donna Phillips,48,130000000.0,239607168.6,Medium-term,high,Under 2 year
Patrick Silva,40,143000000.0,217864820.46,Medium-term,high,Under 3 year
Renee Martinez,54,115000000.0,197255856.0,Medium-term,medium,Under 2 year
Matthew Gibson,35,97000000.0,213536691.95,Long-term,low,Under 7 year
Regina Sims,37,101000000.0,187871003.59,Long-term,low,Under 8 year
Heather Morgan,39,19000000.0,35149684.75,Long-term,low,Under 9 year
Morgan Garza,19,10000000.0,25411626.84,Long-term,medium,Under 8 year
Maria Jones,48,92000000.0,156394302.58,Long-term,high,Under 2 year
Ross Anderson,44,116000000.0,287606640.36,Medium-term,medium,Under 6 year
Sean Mcmahon,51,109000000.0,309161576.4,Medium-term,medium,Under 5 year
David Rivera,42,92000000.0,237375541.04,Long-term,low,Under 3 year
Benjamin Gonzales,32,110000000.0,251103450.99,Medium-term,low,Under 8 year
Daniel Moore,42,1000000.0,2038790.45,Long-term,medium,Under 8 year
Anna Chambers,19,6000000.0,15841959.86,Short-term,low,Under 6 year
