Name,Age,Monthy Income,Accumulated Assets,Investment Goals,Risk Tolerance,Investment Experience
Dawn Johnston,54,126000000.0,360508991.75,Long-term,low,Under 1 year
Bonnie Harvey,62,114000000.0,192752860.12,Medium-term,low,Under 9 year
Michael Jimenez,62,13000000.0,29377285.39,Long-term,high,Under 3 year
Eileen Gardner,33,17000000.0,35505541.57,Long-term,high,Under 7 year
Ronnie Frank,62,90000000.0,231711684.06,Short-term,medium,Under 1 year
Nathan Mitchell,28,3000000.0,7155651.59,Long-term,medium,Under 1 year
David Frank,18,119000000.0,323287359.18,Medium-term,medium,Under 5 year
Vincent Abbott,52,90000000.0,163234114.76,Short-term,medium,Under 0 year
Jay Dominguez,23,140000000.0,369822505.95,Medium-term,high,Under 2 year
Brian Morales,63,130000000.0,248821102.6,Long-term,low,Under 8 year
Cynthia Larsen,32,12000000.0,20119206.01,Long-term,low,Under 8 year
Sarah Shelton,39,49000000.0,131044623.11,Medium-term,low,Under 7 year
Abigail Meyer,31,129000000.0,253239843.22,Short-term,low,Under 1 year
Lisa Daniels,21,75000000.0,218236359.83,Long-term,medium,Under 7 year
Rick Gilbert,21,90000000.0,198539269.29,Short-term,high,Under 6 year
Matthew Jackson,29,125000000.0,341549738.19,Short-term,medium,Under 3 year
Zachary Hess,39,31000000.0,86327187.95,Long-term,medium,Under 9 year
Christopher Mitchell,22,13000000.0,37416498.28,Short-term,medium,Under 0 year
Jose Hampton,35,12000000.0,19775252.72,Short-term,high,Under 1 year
Bridget Schneider,64,93000000.0,261599930.13,Short-term,medium,Under 1 year
Michael Mendoza,39,106000000.0,257173868.81,Long-term,medium,Under 1 year
Sarah Chen,51,24000000.0,56490009.14,Medium-term,low,Under 4 year
Laura Lopez,39,85000000.0,200175808.01,Short-term,low,Under 3 year
Brian Lee,48,2000000.0,3158813.08,Medium-term,high,Under 3 year
Michael Harris,46,120000000.0,223741178.37,Short-term,low,Under 4 year
Judy Weaver,28,11000000.0,26014468.98,Short-term,medium,Under 2 year
Suzanne Stevenson,26,31000000.0,65464029.68,Medium-term,medium,Under 1 year
Lindsay Sanchez,43,24000000.0,42782070.53,Medium-term,high,Under 4 year
Jennifer Nielsen,59,93000000.0,252094024.68,Short-term,low,Under 1 year
Karen Andrews,37,131000000.0,202160454.05,Long-term,high,Under 8 year
Lawrence Cooper MD,42,112000000.0,288782354.03,Short-term,low,Under 9 year
Christopher Hoover,46,71000000.0,183309415.09,Medium-term,medium,Under 8 year
Lisa Torres,38,124000000.0,360042339.45,Long-term,low,Under 1 year
Patricia Benson,43,66000000.0,119197562.17,Short-term,medium,Under 0 year
Dale Henry,63,138000000.0,224854784.61,Short-term,high,Under 8 year
Jessica Waller,48,92000000.0,268533388.65,Medium-term,low,Under 2 year
Shawn Sanders,20,8000000.0,23403831.86,Long-term,low,Under 6 year
Amanda Guzman DDS,46,103000000.0,162064329.33,Short-term,low,Under 6 year
Tiffany Johnson,24,97000000.0,241847105.99,Long-term,high,Under 2 year
Melanie Hill,38,85000000.0,140335693.82,Long-term,low,Under 2 year
William Floyd,58,121000000.0,316141213.21,Medium-term,medium,Under 1 year
Rhonda Mora,37,10000000.0,18451096.75,Short-term,low,Under 8 year
Steve Briggs,40,71000000.0,183567049.06,Long-term,medium,Under 8 year
Miranda Larson,44,108000000.0,250581400.34,Short-term,medium,Under 1 year
Jeremy Werner,57,10000000.0,21108612.98,Short-term,low,Under 5 year
Matthew Perez,30,55000000.0,106373004.01,Long-term,medium,Under 4 year
Matthew Clayton,32,2000000.0,5756517.49,Long-term,medium,Under 8 year
Mary Sanchez,23,143000000.0,347153472.15,Long-term,medium,Under 6 year
Victoria Jones,60,140000000.0,343224428.62,Short-term,low,Under 2 year
Terry Austin,56,106000000.0,243429365.14,Short-term,high,Under 7 year
Eric Gray,26,74000000.0,166872360.22,Long-term,low,Under 3 year
Ronald Mccann,41,112000000.0,195281188.64,Short-term,high,Under 4 year
Jeff Warren,52,134000000.0,348734950.13,Short-term,medium,Under 1 year
Bryan Fleming,60,110000000.0,198377308.98,Medium-term,low,Under 9 year
Derek Schultz,55,35000000.0,62023895.07,Medium-term,low,Under 8 year
Ashley Sanchez,57,40000000.0,63211414.05,Long-term,high,Under 7 year
Jimmy White,40,45000000.0,92614262.23,Short-term,high,Under 4 year
Sabrina Jefferson,40,143000000.0,304995420.18,Long-term,low,Under 9 year
Dennis Brown,57,4000000.0,9328546.69,Long-term,high,Under 3 year
Christopher Ryan,22,30000000.0,60849893.97,Long-term,medium,Under 8 year
Ashley Nunez,32,98000000.0,187979804.19,Short-term,high,Under 0 year
Michael Ray,35,124000000.0,207456417.06,Long-term,high,Under 1 year
Amanda Chambers,20,26000000.0,55801031.71,Short-term,high,Under 5 year
Monica Walker,38,75000000.0,153901830.15,Medium-term,high,Under 3 year
Jennifer Hopkins,64,31000000.0,47460061.82,Long-term,medium,Under 9 year
Kendra Brown,23,101000000.0,252632500.76,Long-term,high,Under 1 year
Aaron Mccarty,19,10000000.0,29862716.46,Short-term,medium,Under 1 year
Jennifer Wright,45,55000000.0,101810209.91,Long-term,low,Under 7 year
Jeanne Brown,41,125000000.0,281967254.25,Medium-term,high,Under 6 year
Christina Coleman,55,72000000.0,115231184.18,Long-term,medium,Under 4 year
Michael Evans,23,141000000.0,422747967.85,Medium-term,low,Under 9 year
Tiffany Marquez,37,5000000.0,9920873.98,Short-term,medium,Under 4 year
Philip Daniel,23,54000000.0,129707740.23,Short-term,low,Under 5 year
Pamela Stewart,33,76000000.0,171805468.08,Medium-term,high,Under 2 year
Erica Ayala,39,52000000.0,108355867.61,Medium-term,medium,Under 6 year
Robert Pierce,25,56000000.0,108620978.29,Short-term,high,Under 9 year
Pamela Lee,45,77000000.0,128338131.44,Long-term,low,Under 8 year
Walter Terry,37,5000000.0,10953309.77,Short-term,medium,Under 3 year
Kim Cohen,47,60000000.0,134311254.77,Long-term,low,Under 8 year
Christine Anderson,28,36000000.0,69378273.88,Medium-term,low,Under 0 year
David Diaz,46,137000000.0,387900272.76,Short-term,high,Under 1 year
Daniel Smith,24,110000000.0,257803130.74,Short-term,medium,Under 0 year
Jeremy Mcguire,29,124000000.0,260191881.69,Medium-term,medium,Under 6 year
Riley Gordon,27,109000000.0,249656144.51,Medium-term,medium,Under 6 year
Matthew Miller,43,131000000.0,334375918.08,Long-term,low,Under 5 year
Joshua Hernandez,20,43000000.0,116824021.88,Medium-term,low,Under 7 year
Kelly Blair,21,106000000.0,235780874.25,Short-term,high,Under 0 year
Jason Wagner,35,57000000.0,168393717.22,Long-term,medium,Under 2 year
Angelica Black,42,140000000.0,220465118.73,Medium-term,low,Under 9 year
Alice Burnett,23,102000000.0,252991195.36,Medium-term,low,Under 4 year
Robert Garcia,54,3000000.0,6326097.08,Short-term,low,Under 4 year
Frank Garcia,26,78000000.0,229928134.75,Medium-term,low,Under 0 year
Deborah Walker,65,2000000.0,3344914.79,Long-term,medium,Under 8 year
Joseph Shaw,32,36000000.0,71013840.08,Short-term,high,Under 2 year
Jenna Willis,45,97000000.0,172502895.52,Long-term,low,Under 6 year
Molly Hernandez,35,136000000.0,259373075.25,Long-term,medium,Under 5 year
Rhonda Bush,52,30000000.0,78187670.69,Short-term,low,Under 3 year
Pamela Romero,26,100000000.0,205987443.24,Medium-term,low,Under 7 year
Stephen Choi,27,108000000.0,193281424.01,Short-term,medium,Under 5 year
Heidi Vance,59,137000000.0,295501271.6,Medium-term,medium,Under 6 year
Karen Hart,49,83000000.0,173733074.57,Short-term,low,Under 8 year
Christina Wilcox,61,96000000.0,158318470.36,Medium-term,high,Under 0 year
Lisa Glass,59,108000000.0,284232233.16,Medium-term,low,Under 7 year
Gary Edwards,32,138000000.0,246528247.38,Medium-term,high,Under 9 year
Kristin Murphy,30,57000000.0,92509536.23,Medium-term,low,Under 2 year
Amber Shelton,41,74000000.0,155166105.8,Long-term,medium,Under 4 year
Christopher James,25,135000000.0,296725001.81,Short-term,high,Under 1 year
Anthony Ford,37,37000000.0,59479567.65,Medium-term,high,Under 7 year
