Name,Age,Monthy Income,Accumulated Assets,Investment Goals,Risk Tolerance,Investment Experience
Tyler Rodriguez,61,17000000.0,37847340.06,Medium-term,high,Under 6 year
Christie Gentry,21,115000000.0,250586677.89,Short-term,medium,Under 0 year
Daniel Johnson,35,3000000.0,5717500.93,Short-term,high,Under 3 year
Roger Nixon,18,140000000.0,406337678.1,Long-term,high,Under 2 year
Tara Osborne,60,4000000.0,8247666.0,Medium-term,low,Under 5 year
Catherine Roberts,40,107000000.0,251348610.46,Long-term,high,Under 8 year
Brandi Moore,36,76000000.0,208490855.51,Medium-term,medium,Under 6 year
Nicole Butler,51,18000000.0,41471812.85,Medium-term,high,Under 8 year
Gary Moore,61,105000000.0,280558743.08,Short-term,low,Under 7 year
Amanda Edwards,52,68000000.0,146731938.26,Medium-term,low,Under 8 year
Joseph Gonzalez,47,117000000.0,327486207.35,Short-term,high,Under 6 year
Michelle Garcia,52,63000000.0,146616486.33,Short-term,low,Under 9 year
Rachel Hodges,39,46000000.0,121970813.57,Medium-term,low,Under 2 year
Melissa House,38,124000000.0,294243690.49,Medium-term,low,Under 4 year
Jeremy Farrell,34,17000000.0,50937530.52,Short-term,low,Under 2 year
Lydia Wilkins,45,21000000.0,61721471.91,Medium-term,high,Under 5 year
Robert Morris,44,5000000.0,7738114.59,Short-term,high,Under 0 year
James Stewart,59,81000000.0,141788967.52,Long-term,medium,Under 0 year
Robert Phillips,54,110000000.0,173916233.1,Medium-term,low,Under 5 year
Alan Mason,33,41000000.0,67473691.1,Long-term,medium,Under 1 year
Mark Byrd,46,26000000.0,58762197.82,Long-term,medium,Under 1 year
George Schultz,25,134000000.0,392274871.57,Medium-term,low,Under 8 year
Ellen Hernandez,44,124000000.0,267811716.23,Long-term,high,Under 4 year
Valerie Weaver,51,46000000.0,122140882.63,Long-term,medium,Under 9 year
Crystal Fernandez,60,61000000.0,108992309.12,Short-term,high,Under 7 year
Jennifer Morse,37,18000000.0,27722838.5,Long-term,low,Under 2 year
Robert Hobbs,56,122000000.0,186228837.73,Medium-term,high,Under 8 year
Daniel Long,55,57000000.0,166597276.04,Short-term,medium,Under 8 year
