Name,Age,Monthy Income,Accumulated Assets,Investment Goals,Risk Tolerance,Investment Experience
Todd Rose,36,55000000.0,114663475.28,Medium-term,medium,Under 5 year
Toni Reyes,33,113000000.0,252557082.12,Medium-term,low,Under 2 year
Jacqueline Gray,47,69000000.0,169911546.95,Medium-term,medium,Under 2 year
Christopher White,55,62000000.0,165128232.11,Short-term,low,Under 7 year
Mrs. Molly Fox,62,123000000.0,261489538.0,Medium-term,medium,Under 2 year
Justin Ware,47,48000000.0,114796646.79,Short-term,medium,Under 1 year
Dakota Williams,43,140000000.0,368150616.69,Short-term,high,Under 6 year
Michelle Thompson,24,111000000.0,196269714.06,Short-term,low,Under 2 year
Frank Ward,37,116000000.0,306509649.46,Medium-term,medium,Under 5 year
Clayton Hunt,45,73000000.0,141131123.3,Medium-term,high,Under 9 year
Steven Reed,46,39000000.0,86963236.41,Long-term,medium,Under 4 year
Donna Cook,45,90000000.0,156983102.91,Long-term,low,Under 1 year
John Rodriguez,41,30000000.0,47906978.65,Short-term,medium,Under 4 year
Deborah Lynch,45,133000000.0,310208662.2,Medium-term,high,Under 1 year
Austin Jones,18,35000000.0,90906464.18,Long-term,high,Under 0 year
Wayne Mays,62,85000000.0,146963153.02,Medium-term,medium,Under 9 year
Vicki Valencia,65,12000000.0,26313200.64,Medium-term,medium,Under 3 year
Tony Ford,36,18000000.0,48553048.28,Medium-term,low,Under 4 year
George Kerr,18,71000000.0,203981418.41,Long-term,low,Under 5 year
Brandon Weaver,30,98000000.0,170280474.37,Long-term,high,Under 9 year
Jeffrey Patterson,35,129000000.0,193557090.82,Medium-term,medium,Under 5 year
Samantha Terry,56,109000000.0,206128957.84,Medium-term,low,Under 2 year
Kayla Cruz,54,76000000.0,137150941.47,Medium-term,medium,Under 4 year
Christian Miller,19,58000000.0,139575107.79,Long-term,medium,Under 1 year
Jennifer Young,62,7000000.0,18441994.02,Medium-term,low,Under 6 year
Jason Williams,19,6000000.0,15763981.16,Medium-term,medium,Under 7 year
Jill Reyes,41,119000000.0,353585106.32,Medium-term,high,Under 9 year
Bryan Hernandez,27,76000000.0,182046560.93,Long-term,medium,Under 5 year
Tracy Murphy,55,26000000.0,45126896.42,Short-term,high,Under 2 year
John Baker,37,92000000.0,179014472.41,Medium-term,low,Under 9 year
Nathan Cain,56,107000000.0,162955422.72,Long-term,low,Under 0 year
John Johnson,29,57000000.0,148165266.59,Short-term,low,Under 4 year
Sandra Banks,49,145000000.0,326130878.45,Medium-term,medium,Under 5 year
Kristen Bridges,20,147000000.0,313108923.37,Short-term,low,Under 3 year
Matthew Rodriguez,39,66000000.0,102889068.22,Short-term,low,Under 5 year
Steven Buck,38,96000000.0,238667510.59,Long-term,medium,Under 7 year
Kristine Evans,18,55000000.0,83778294.17,Long-term,medium,Under 3 year
Holly Dawson,53,140000000.0,325280238.11,Medium-term,medium,Under 0 year
Cynthia Espinoza,58,100000000.0,292761542.92,Short-term,low,Under 8 year
Jonathan Jones,26,17000000.0,37346956.46,Long-term,medium,Under 4 year
Brandon Duncan,51,85000000.0,196978564.28,Short-term,medium,Under 8 year
Rhonda Ray,53,28000000.0,42413402.36,Medium-term,medium,Under 9 year
Jennifer Dickerson,38,84000000.0,127202053.85,Long-term,low,Under 0 year
Christine Johnson,30,87000000.0,165053223.69,Short-term,low,Under 8 year
Victor Rios,63,127000000.0,309744334.12,Short-term,low,Under 9 year
Alexander Allen,38,97000000.0,288579708.48,Medium-term,medium,Under 4 year
Raymond Conley,62,126000000.0,283162617.73,Long-term,low,Under 5 year
Alex Ramos,20,79000000.0,169424442.36,Medium-term,high,Under 2 year
Anna Morse,32,145000000.0,384707617.89,Long-term,medium,Under 4 year
Blake Reed,48,55000000.0,143386677.13,Short-term,medium,Under 7 year
Jeremy Jones,60,93000000.0,141505545.0,Long-term,low,Under 8 year
Curtis Quinn,63,130000000.0,339245390.43,Medium-term,low,Under 8 year
Kiara Ortiz,33,6000000.0,15186991.75,Short-term,high,Under 3 year
Joshua Tanner,52,68000000.0,179282677.41,Medium-term,medium,Under 5 year
Joseph Frank,64,57000000.0,160539710.96,Medium-term,medium,Under 7 year
Timothy White,34,123000000.0,356773952.35,Long-term,low,Under 8 year
Annette Bailey,26,146000000.0,251774330.34,Medium-term,medium,Under 3 year
Carla Matthews MD,23,79000000.0,190232756.5,Medium-term,high,Under 8 year
Bradley Ramirez,47,7000000.0,15312427.41,Medium-term,low,Under 6 year
Wendy Perry,25,106000000.0,263136661.61,Long-term,high,Under 2 year
Jonathan Smith,61,110000000.0,234652922.37,Medium-term,low,Under 2 year
Edwin Hill,28,105000000.0,298286029.59,Medium-term,low,Under 1 year
Taylor Alexander,42,59000000.0,145980548.71,Long-term,high,Under 6 year
Laura Mclaughlin,46,98000000.0,247138850.07,Long-term,low,Under 8 year
Kathy Drake,56,133000000.0,242776921.17,Short-term,medium,Under 4 year
Scott Soto,57,113000000.0,191563887.42,Medium-term,medium,Under 4 year
Casey Myers,26,139000000.0,386237726.45,Medium-term,low,Under 0 year
Scott Harding,59,15000000.0,33789327.84,Short-term,low,Under 6 year
Amber Malone,51,29000000.0,67034897.83,Short-term,low,Under 4 year
Nicholas Morris,33,58000000.0,157896150.96,Medium-term,low,Under 9 year
Ashley Hubbard,49,39000000.0,88698809.79,Short-term,low,Under 9 year
Daniel Pittman,40,140000000.0,294761370.83,Short-term,low,Under 9 year
Mary Howell,56,76000000.0,122529958.77,Medium-term,low,Under 5 year
Brett Roberts,29,11000000.0,29326189.06,Medium-term,high,Under 2 year
Robert Dominguez,24,36000000.0,60219396.26,Short-term,low,Under 4 year
Mr. Shane Garcia DVM,38,83000000.0,191217624.64,Long-term,medium,Under 5 year
Courtney Williamson,18,23000000.0,66067922.33,Medium-term,high,Under 2 year
Shannon Clements,62,23000000.0,55409069.66,Medium-term,high,Under 9 year
Stephanie Ross,46,112000000.0,239062966.46,Medium-term,medium,Under 8 year
Frances Hall,47,32000000.0,69987192.23,Short-term,low,Under 2 year
Robert Nixon,64,132000000.0,242243425.24,Long-term,low,Under 2 year
Christina Davis,64,17000000.0,35713381.85,Medium-term,low,Under 2 year
John Mitchell,22,59000000.0,106424684.61,Long-term,low,Under 4 year
Laura Sanchez,43,85000000.0,158793892.49,Long-term,high,Under 3 year
Tina Smith,40,2000000.0,5857362.13,Medium-term,medium,Under 8 year
Brandon Rose,55,117000000.0,311251056.21,Medium-term,low,Under 4 year
Travis Cruz,56,66000000.0,124302282.72,Short-term,medium,Under 2 year
Kristen Mcdonald,47,114000000.0,183265383.92,Short-term,medium,Under 2 year
Carolyn Mcfarland,54,46000000.0,107037697.62,Short-term,high,Under 8 year
Jodi Moore,42,49000000.0,108097783.49,Long-term,high,Under 4 year
Jesus Davis,59,17000000.0,46027081.52,Long-term,medium,Under 9 year
James Bautista,21,27000000.0,45754778.95,Medium-term,low,Under 2 year
William Harmon,18,23000000.0,52699082.25,Long-term,medium,Under 5 year
Melanie Grant,38,35000000.0,78740248.08,Short-term,medium,Under 4 year
Lucas Sanders,54,82000000.0,162864678.65,Short-term,high,Under 8 year
Benjamin Stanley,25,2000000.0,4665979.63,Short-term,low,Under 9 year
Anthony Wood,60,15000000.0,35651615.64,Medium-term,high,Under 7 year
Melanie Hughes,37,9000000.0,13921252.16,Medium-term,low,Under 2 year
Ashley Hopkins,42,76000000.0,164526461.38,Short-term,high,Under 7 year
Erica Smith,62,109000000.0,182815934.16,Medium-term,medium,Under 8 year
Mary Huber,24,80000000.0,204801405.15,Short-term,high,Under 8 year
Scott Jones,23,137000000.0,321111088.13,Long-term,high,Under 1 year
Tristan Foster,57,49000000.0,136394982.33,Short-term,high,Under 3 year
Jorge Kim,43,40000000.0,83004592.01,Long-term,medium,Under 9 year
Linda Palmer,25,110000000.0,193597882.72,Short-term,low,Under 2 year
Taylor Vasquez,54,61000000.0,162416321.43,Long-term,high,Under 1 year
Andrew Gill,23,31000000.0,84494335.71,Medium-term,high,Under 8 year
Jeffrey Smith,62,28000000.0,44360102.33,Medium-term,high,Under 4 year
Samuel Jimenez,25,134000000.0,263113112.11,Long-term,high,Under 3 year
Daniel Irwin,29,7000000.0,13490688.1,Medium-term,high,Under 4 year
Derek Edwards,62,48000000.0,128621402.73,Medium-term,medium,Under 0 year
Jacob Crane,35,109000000.0,303551179.42,Short-term,high,Under 3 year
Wanda Humphrey,27,62000000.0,145970835.48,Medium-term,low,Under 1 year
Adriana Boyd,19,113000000.0,233868510.15,Long-term,high,Under 9 year
