Name,Age,Monthy Income,Accumulated Assets,Investment Goals,Risk Tolerance,Investment Experience
Victoria Ball,37,79000000.0,132871349.74,Short-term,low,Under 4 year
David Owens,49,57000000.0,102799254.61,Medium-term,medium,Under 5 year
Jeffrey Davis,18,1000000.0,1775139.09,Medium-term,low,Under 6 year
Donna Murphy,25,68000000.0,123255302.01,Long-term,medium,Under 2 year
Andre Li,48,81000000.0,145047993.92,Medium-term,medium,Under 4 year
Mr. Sean Taylor,24,92000000.0,189001383.62,Medium-term,high,Under 0 year
Zachary Weaver,21,113000000.0,304662086.77,Long-term,medium,Under 4 year
Rachel Hendrix,42,90000000.0,240090348.14,Short-term,medium,Under 1 year
Ryan Herman,28,50000000.0,130803322.62,Long-term,low,Under 6 year
Kristen Harris,61,77000000.0,189956257.4,Short-term,medium,Under 0 year
Leslie Cunningham,31,45000000.0,103149380.17,Long-term,low,Under 3 year
Rachel Diaz,60,123000000.0,186678481.33,Short-term,high,Under 1 year
Elizabeth Fox,47,140000000.0,330319385.93,Short-term,medium,Under 6 year
Stephen Weber,55,3000000.0,5163717.73,Long-term,medium,Under 5 year
Lisa Brown,52,112000000.0,205590612.94,Long-term,medium,Under 3 year
Brian Wilson,63,105000000.0,312337004.56,Short-term,high,Under 5 year
Leslie Mason,46,11000000.0,23335881.52,Medium-term,high,Under 1 year
Megan Williams,41,79000000.0,206320151.92,Long-term,medium,Under 1 year
Sarah Santiago,52,79000000.0,215306771.31,Medium-term,low,Under 9 year
Johnny Lee,34,139000000.0,255834829.27,Short-term,low,Under 6 year
Michael Prince,39,127000000.0,349947362.61,Short-term,medium,Under 9 year
Gary Bates,32,4000000.0,8394009.95,Long-term,high,Under 1 year
Corey Watkins,23,91000000.0,139212417.73,Medium-term,low,Under 4 year
Edwin Graham,28,63000000.0,171232365.45,Medium-term,low,Under 3 year
Jason Reyes,43,65000000.0,98330861.54,Long-term,low,Under 9 year
Glen Bird,57,22000000.0,56180873.9,Long-term,low,Under 6 year
Anthony Davis,61,20000000.0,39560437.07,Long-term,high,Under 6 year
Christopher Aguirre,63,132000000.0,327179960.68,Long-term,high,Under 3 year
Julie Smith,24,99000000.0,278386658.34,Long-term,high,Under 1 year
Richard Estrada,49,39000000.0,90797801.27,Medium-term,high,Under 5 year
John Mitchell,33,40000000.0,114473794.45,Medium-term,high,Under 7 year
Ms. Angela Padilla,38,66000000.0,192982456.73,Long-term,medium,Under 7 year
Bryan Wiggins,65,144000000.0,218752260.67,Medium-term,low,Under 0 year
Miss Janice Lucero,48,120000000.0,186703383.8,Short-term,high,Under 2 year
Adam Berry,58,111000000.0,171843784.75,Medium-term,low,Under 1 year
Mason Davis,35,55000000.0,104975515.79,Long-term,low,Under 2 year
Crystal Hardy,33,59000000.0,91379858.55,Long-term,high,Under 2 year
Lori Clark,50,91000000.0,242805122.69,Medium-term,low,Under 6 year
Colleen Salazar,31,94000000.0,204064934.63,Medium-term,low,Under 3 year
Joseph Campbell,18,109000000.0,204020501.96,Short-term,medium,Under 1 year
Connor Martinez,59,89000000.0,187311619.58,Short-term,high,Under 6 year
Diane Barrett,31,65000000.0,108170863.73,Long-term,high,Under 6 year
Kristi Allen,28,135000000.0,357563620.69,Short-term,low,Under 4 year
Felicia Watson,65,15000000.0,43971683.5,Short-term,medium,Under 4 year
Christy Clark,57,25000000.0,65336692.54,Medium-term,low,Under 1 year
Kelsey Gonzalez,64,90000000.0,154092703.03,Short-term,medium,Under 8 year
James West,36,122000000.0,330618698.53,Short-term,low,Under 8 year
Lindsay Gonzalez,26,77000000.0,213420698.98,Medium-term,medium,Under 1 year
Michael Daniels,54,140000000.0,268659569.29,Long-term,medium,Under 7 year
Jordan Lopez,61,90000000.0,269913928.27,Medium-term,high,Under 5 year
Johnny Rodriguez,64,126000000.0,262399629.28,Long-term,low,Under 4 year
William Lam,50,79000000.0,122453223.95,Long-term,medium,Under 3 year
Marcus Ward,22,78000000.0,210025037.33,Long-term,low,Under 8 year
Bradley White,36,27000000.0,42770363.19,Short-term,medium,Under 4 year
Jennifer Wells,56,27000000.0,77777210.52,Long-term,high,Under 1 year
Nicole Baker,56,30000000.0,57247368.83,Long-term,medium,Under 6 year
Michael Davis,26,56000000.0,142415111.54,Medium-term,low,Under 3 year
Steve Fischer,39,51000000.0,137894817.51,Medium-term,low,Under 6 year
Daniel Dillon,44,30000000.0,77132421.92,Short-term,medium,Under 7 year
Jason Stanley,48,136000000.0,277685092.48,Long-term,low,Under 2 year
Ryan Baker,64,38000000.0,63027056.21,Long-term,low,Under 2 year
Nichole Silva,26,93000000.0,211702020.77,Short-term,low,Under 9 year
Brian Edwards,46,126000000.0,189091190.02,Long-term,high,Under 8 year
Justin Dominguez,61,59000000.0,133759846.07,Long-term,high,Under 7 year
Edward Mccarty,34,117000000.0,306722002.15,Short-term,high,Under 8 year
Luis Davidson,55,136000000.0,226735717.56,Short-term,high,Under 6 year
Felicia Perez,29,102000000.0,198616273.01,Long-term,low,Under 5 year
Angela Donovan,26,23000000.0,49562355.82,Long-term,low,Under 1 year
Kenneth Wallace,32,129000000.0,244118491.01,Short-term,high,Under 1 year
Deanna Payne,60,10000000.0,26437732.26,Long-term,low,Under 6 year
Rodney Warren,21,18000000.0,51768691.26,Long-term,high,Under 7 year
Wendy Erickson,34,84000000.0,141866134.04,Short-term,high,Under 8 year
Kathryn Blake,19,143000000.0,365972220.21,Long-term,medium,Under 3 year
Debbie Mendoza,19,59000000.0,148370749.56,Long-term,low,Under 1 year
Jennifer Hernandez,64,36000000.0,76278913.56,Long-term,medium,Under 2 year
Steven Carter,47,104000000.0,166226883.02,Medium-term,high,Under 2 year
Calvin Thompson,48,83000000.0,244440904.19,Short-term,high,Under 5 year
Robert Gutierrez,57,137000000.0,300357071.22,Short-term,low,Under 5 year
Carolyn Stone,58,145000000.0,318910535.32,Short-term,low,Under 1 year
Daniel Myers,31,132000000.0,314761021.4,Long-term,low,Under 5 year
Thomas Brown,39,94000000.0,220169189.44,Short-term,high,Under 8 year
Daniel Keith,53,53000000.0,88683236.51,Medium-term,low,Under 3 year
Karen Farley,53,20000000.0,30876897.63,Medium-term,high,Under 4 year
Terrance Sanchez,53,75000000.0,130167710.83,Medium-term,medium,Under 9 year
Earl Dawson,37,74000000.0,211615466.26,Long-term,low,Under 8 year
Tina Meyers,30,124000000.0,202406924.97,Medium-term,low,Under 1 year
Mary Lewis,50,25000000.0,54167992.65,Short-term,medium,Under 0 year
Monica Gray,54,20000000.0,32599279.61,Long-term,high,Under 0 year
Jeffrey Clarke,24,31000000.0,67972778.1,Medium-term,medium,Under 5 year
Kristina Smith,30,5000000.0,7598236.1,Long-term,high,Under 7 year
Brandy Brown,59,64000000.0,143141732.78,Long-term,high,Under 0 year
Amanda Tate,65,41000000.0,71957273.58,Medium-term,high,Under 1 year
Rachel Ruiz,55,125000000.0,307984333.7,Short-term,medium,Under 1 year
James Payne,47,85000000.0,134367836.81,Short-term,high,Under 7 year
